episode,frames,t_start,t_end,duration_s,det_ratio,median_conf,missing_xy_ratio,displacement_px,path_len_px,median_speed_px_s,p95_speed_px_s,max_step_px,p99_speed_px_s,max_speed_px_s,jump_ratio,tortuosity,keep,reject_reason
1,19,0.361,1.082,0.7210000000000001,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
2,19,2.244,2.966,0.722,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
3,19,4.128,4.85,0.7219999999999995,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
4,19,6.012,6.733,0.7210000000000001,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
5,19,7.896,8.617,0.721000000000001,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
6,19,9.779,10.501,0.7219999999999995,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
7,19,11.663,12.384,0.7210000000000001,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
8,19,13.547,14.268,0.7210000000000001,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
10,19,22.043,22.765,0.7220000000000013,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
11,19,23.927,24.649,0.7220000000000013,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
12,19,25.811,26.532,0.7210000000000001,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
13,19,27.695,28.416,0.7210000000000001,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
14,19,29.578,30.3,0.7220000000000013,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
15,19,31.462,32.183,0.7210000000000001,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
16,19,33.346,34.067,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
17,19,35.229,35.951,0.7220000000000013,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
18,19,37.113,37.835,0.7220000000000013,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
21,19,51.822,52.544,0.7219999999999942,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
22,34,53.706,55.028,1.3219999999999956,0.14705882352941177,0.8341,0.0,3.313158161030366,3.4783253033826655,1.1876973520241818,11.37686531657704,1.4695934812048461,29.04879748285772,36.73983703012193,0.0,1.0498518737484401,False,few_detections
